sid,tid,fid,ss,et,label,score
0,10,15,2,251,1,0.9988855719566345
0,77,20,3,89,1,0.7059670090675354
0,0,15,3,28,1,0.5870451927185059
0,52,5,2,374,1,0.9968371391296387
0,51,5,2,355,1,0.890583872795105
0,69,10,2,14,1,0.9801235795021057
0,42,15,2,385,1,0.8830529451370239
0,30,25,2,46,1,0.2793450653553009
0,33,20,2,120,1,0.9430950880050659
0,18,10,2,435,1,0.8999151587486267
0,29,25,2,426,1,0.7765902280807495
0,15,10,2,371,1,0.991067111492157
0,87,10,3,195,0,0.013247120194137096
0,17,25,2,416,1,0.9971866011619568
0,70,10,2,181,0,0.8498177528381348
0,20,5,3,193,0,0.24418793618679047
0,48,20,3,29,1,0.9669849276542664
0,23,5,3,286,1,0.789482831954956
0,85,20,2,107,1,0.417045533657074
0,50,15,2,310,1,0.991746187210083
0,63,0,2,38,1,0.9705657958984375
0,77,25,3,89,1,0.7692772746086121
0,5,10,2,86,1,0.9959269165992737
0,61,0,2,269,1,0.03920465335249901
0,16,25,2,385,1,0.9984591007232666
0,55,20,2,119,1,0.762309193611145
0,79,25,3,303,1,0.05785386636853218
0,62,25,2,342,1,0.6618004441261292
0,71,15,3,200,0,0.04657233506441116
0,21,5,2,211,1,0.9970480799674988
0,18,25,2,435,1,0.7496044039726257
0,70,5,2,181,0,0.9796020984649658
0,63,15,2,38,1,0.5632696151733398
1,21,10,2,376,1,0.8952237963676453
1,25,20,2,186,1,0.7719119787216187
1,10,20,2,239,0,0.8611016869544983
1,26,20,2,269,0,0.8983541131019592
1,28,0,2,414,1,0.49693453311920166
1,47,15,3,169,0,0.09959429502487183
1,20,20,2,326,1,0.968197762966156
1,9,0,2,218,0,0.9284417033195496
1,7,20,3,159,0,0.8700708746910095
1,33,25,3,271,0,0.6005615592002869
1,36,10,2,122,1,0.5213645696640015
1,22,15,3,65,1,0.6557865738868713
1,9,20,2,218,0,0.663703441619873
1,1,0,2,297,1,0.9602633118629456
1,37,5,2,137,1,0.8896092772483826
1,32,20,3,252,0,0.4523751735687256
1,27,10,2,393,0,0.3770701289176941
1,30,10,3,114,0,0.3601945638656616
1,7,15,3,159,0,0.9023774266242981
1,3,20,2,432,0,0.8763641119003296
1,22,10,3,65,1,0.28509849309921265
1,16,10,2,78,0,0.09856166690587997
1,44,25,2,47,1,0.5779330730438232
1,0,25,3,251,0,0.1878337562084198
1,14,20,3,54,0,0.003436017781496048
1,43,10,2,378,1,0.931761622428894
1,45,0,3,102,0,0.4587557911872864
1,10,25,2,239,0,0.5238916873931885
1,13,15,2,337,1,0.27632611989974976
1,26,10,2,269,0,0.585434079170227
1,32,0,3,252,0,0.5321386456489563
1,11,0,2,180,0,0.08579765260219574
1,18,10,2,128,0,0.20868350565433502
1,46,0,2,128,1,0.08110044151544571
1,27,0,2,393,0,0.29990899562835693
1,33,0,3,271,0,0.8635652661323547
1,4,20,2,447,0,0.9689379930496216
1,41,0,2,317,1,0.5228726863861084
1,35,25,3,313,0,0.09675093740224838
1,43,25,2,378,1,0.506833016872406
1,6,15,3,118,1,0.8376791477203369
1,25,25,2,186,1,0.7380926012992859
1,8,5,2,179,1,0.7921901345252991
1,19,25,3,166,0,0.07830234616994858
1,0,5,3,251,0,0.38138771057128906
1,0,0,3,251,0,0.2486630231142044
1,46,25,2,128,1,0.3155154585838318
1,37,10,2,137,1,0.9308952689170837
1,37,15,2,137,1,0.8852583169937134
1,13,20,2,337,1,0.4719173014163971
1,4,25,2,447,0,0.9492449760437012
1,26,15,2,269,0,0.4487040340900421
1,21,25,2,376,1,0.8992725610733032
1,1,5,2,297,1,0.8494774699211121
1,6,20,3,118,1,0.7473762631416321
1,2,5,2,359,0,0.9222995042800903
1,14,15,3,54,0,0.02372436225414276
1,35,5,3,313,0,0.14711351692676544
1,20,5,2,326,1,0.9137212634086609
1,19,20,3,166,0,0.05006454512476921
1,34,0,3,292,0,0.4634655714035034
1,12,15,2,249,1,0.8319615721702576
1,18,5,2,128,0,0.10749121755361557
1,31,10,3,128,0,0.6578540802001953
1,47,20,3,169,0,0.17688880860805511
1,42,15,2,340,1,0.79744553565979
1,6,25,3,118,1,0.4351397156715393
1,15,10,3,65,0,0.014615140855312347
1,20,15,2,326,1,0.9677358269691467
1,20,10,2,326,1,0.8963276147842407
1,10,5,2,239,0,0.5959845781326294
1,5,5,2,489,1,0.9551597237586975
1,32,5,3,252,0,0.5940709114074707
1,40,25,3,257,0,0.4275710880756378
1,38,5,2,155,1,0.9461073875427246
1,31,25,3,128,0,0.15429958701133728
1,22,25,3,65,1,0.518799364566803
1,30,15,3,114,0,0.1995069980621338
1,30,5,3,114,0,0.3194730877876282
1,33,5,3,271,0,0.536645233631134
1,21,20,2,376,1,0.7906578183174133
1,29,20,2,468,1,0.9230682849884033
1,32,10,3,252,0,0.4785403609275818
1,45,5,3,102,0,0.2889612913131714
1,14,10,3,54,0,0.03713752701878548
1,31,5,3,128,0,0.8552120923995972
1,32,25,3,252,0,0.05406474694609642
1,44,10,2,47,1,0.7466515302658081
1,38,20,2,155,1,0.46991798281669617
1,40,0,3,257,0,0.252456933259964
1,46,20,2,128,1,0.6668910980224609
1,18,25,2,128,0,0.0836627334356308
1,1,25,2,297,1,0.8494725823402405
1,8,25,2,179,1,0.5746372938156128
1,20,25,2,326,1,0.9822272658348083
1,13,10,2,337,1,0.38792699575424194
1,23,20,2,108,1,0.9689203500747681
1,12,20,2,249,1,0.6095157265663147
1,23,25,2,108,1,0.9262422323226929
1,33,15,3,271,0,0.8031246662139893
